ImageName,LocalEnergy_0_1,LocalEnergy_0_2,LocalEnergy_0_3,LocalEnergy_0.7853981633974483_1,LocalEnergy_0.7853981633974483_2,LocalEnergy_0.7853981633974483_3,LocalEnergy_1.5707963267948966_1,LocalEnergy_1.5707963267948966_2,LocalEnergy_1.5707963267948966_3,LocalEnergy_2.356194490192345_1,LocalEnergy_2.356194490192345_2,LocalEnergy_2.356194490192345_3,MeanAmplitude_0_1,MeanAmplitude_0_2,MeanAmplitude_0_3,MeanAmplitude_0.7853981633974483_1,MeanAmplitude_0.7853981633974483_2,MeanAmplitude_0.7853981633974483_3,MeanAmplitude_1.5707963267948966_1,MeanAmplitude_1.5707963267948966_2,MeanAmplitude_1.5707963267948966_3,MeanAmplitude_2.356194490192345_1,MeanAmplitude_2.356194490192345_2,MeanAmplitude_2.356194490192345_3,class
MaI286_255.jpg_0_0.png,1607984,590161,30393367,30586929,30908212,3557712,1621138,652953,29941573,30509506,31001081,3704202,65064652,190027,40619455,42706367,21992566,62263734,65066148,249147,40622791,42675142,21954827,62367472,good
MaI286_256.jpg_0_0.png,2409410,643821,28341070,27499264,28892467,3982411,2402321,644235,27960356,27505840,29050085,4086642,64301628,173351,43506302,45782802,23562865,61063851,64309685,252989,43541072,45761590,23541111,61161404,good
MaI286_256.jpg_0_2.png,1244326,369812,30907068,27466105,28429032,2831793,1252555,602900,30921587,27639829,28576128,2927251,65687350,104080,43056948,45316007,23315932,63392361,65690131,257766,43109193,45296517,23293852,63474181,good
MaI286_256.jpg_0_3.png,1631795,557097,30301489,29490085,29306020,4807170,1644043,1057676,29838689,29617323,29510187,5087829,65414889,155819,39912053,41933519,21616534,60989696,65434755,472186,40035467,41888839,21567725,61148415,good
MaI286_258.jpg_0_0.png,984212,433434,29948438,30600901,31128474,2724761,979870,374437,30769862,30733314,31307783,2811354,66129468,137552,41201538,43313769,22282942,63965827,66146550,137173,41167720,43298158,22265049,64010694,good
MaI286_258.jpg_0_1.png,1183141,745167,29442362,30382474,30678008,4829396,1164158,728977,29861039,30524912,30870444,4997128,66163799,235137,39208692,41090536,21186456,61823204,66195202,272819,39116399,41053904,21148190,61901382,good
MaI286_262.jpg_0_2.png,1233201,395823,30460639,31474256,31547732,3458208,1244618,535016,30494739,31577693,31646290,3555552,65733953,113855,40229347,42303710,21774650,63028164,65742964,201042,40248171,42283603,21752394,63100634,good
MaI286_266.jpg_0_0.png,1051175,508578,29950891,29434466,30163930,3317198,1040135,519081,30720261,29646760,30113532,3365038,65933205,166198,41865949,44000968,22646166,63491030,65941959,191155,41847849,43987074,22629562,63546822,good
MaI286_268.jpg_0_0.png,1168274,552388,29978693,30933296,31349686,3148947,1143178,580777,30659268,30875647,31389520,3245605,65810140,191242,40800641,42890774,22074294,63323769,65823244,240081,40803942,42875819,22059888,63344585,good
MaI286_270.jpg_0_0.png,1251917,474752,30584269,30345243,30845178,3390848,1229604,527871,30355833,30384193,30973573,3463198,65709011,155386,40990159,43081113,22174566,63084170,65721326,206937,40984967,43060129,22149583,63182878,good
MaI286_271.jpg_0_2.png,2217142,457001,24723116,27362290,30383565,7474119,2216414,684252,25389672,27420331,30381338,7771125,63927680,106623,33936750,35699382,18372369,60257353,63934278,217048,33965754,35684753,18356824,60208167,bad
MaI286_278.jpg_0_8.png,1296579,450669,29248194,30686299,32723121,4467908,1294829,663405,29222949,30750284,32798673,4664871,65866413,124415,37923616,39852063,20524765,61992524,65883377,230277,37945291,39822388,20493067,62075735,good
MaI286_279.jpg_0_5.png,1063249,616604,26742585,28803931,31606857,6509302,1048773,900634,27014736,28796603,31720460,6578082,66298437,169208,35588867,37322227,19236601,61491208,66325855,333372,35583112,37301127,19212954,61545800,good
MaI286_280.jpg_0_1.png,1155329,624790,26686482,29152046,31796500,5818356,1139680,709421,27492999,29209227,31844638,5920450,66184957,179972,35812538,37569122,19364122,61600680,66219508,229301,35762823,37545905,19343220,61633322,good
MaI286_281.jpg_0_2.png,1572564,495881,26477550,28702149,31409790,5036318,1561676,693977,26493331,28737070,31500515,5093746,65001660,137739,35759244,37606795,19357560,62156834,65006148,243065,35757379,37590762,19338397,62195192,good
MaI286_281.jpg_0_0.png,1422210,619552,26929094,29063708,31474272,5519007,1416685,747742,27076510,29104708,31673611,5498251,65393670,238466,36404716,38263272,19703388,62060953,65397047,290336,36401900,38247690,19683871,62166143,good
MaI286_281.jpg_0_4.png,1213873,715794,26072200,28111167,31048911,7360380,1202000,1048756,25958429,28148982,31140337,7439413,65996311,206046,34562984,36241365,18686857,60778130,66007726,396494,34568879,36217742,18657871,60834725,good
MaI286_281.jpg_0_6.png,1403173,588493,26637390,28389032,31036938,6358416,1392771,924481,25994948,28367765,31033907,6455290,65438031,170553,35020500,36774876,18950822,61054616,65443627,331871,35050212,36754995,18923107,61128164,good
MaI286_281.jpg_0_5.png,1015491,704768,26918513,28652807,31367118,6920473,995869,1057686,26457821,28685450,31488352,7045369,66299845,212458,35225579,36926595,19044298,61070553,66307863,404386,35237811,36899124,19009178,61163879,good
MaI286_281.jpg_0_7.png,1270373,698270,26797513,28231587,30927578,7519850,1248487,1246167,25999787,28241058,30978933,7671387,65740755,189838,34595397,36278721,18705152,60365636,65750181,475655,34638547,36256720,18677399,60418103,good
MaI286_281.jpg_0_3.png,1378239,778807,25687304,28048791,30796453,7664665,1371791,1179758,25737224,28196551,31032459,7771457,65824141,234403,34212258,35864597,18500107,60357867,65838269,440320,34210730,35834039,18465473,60412079,good
MaI286_288.jpg_0_0.png,1556945,438697,30458059,29874465,30231753,3259300,1566681,494614,30617887,29799779,30281781,3327216,65325627,125031,41267499,43416997,22334585,62815782,65335837,164344,41278741,43412665,22333053,62793976,good
MaI286_292.jpg_0_0.png,1270209,492601,29528365,30780183,31244378,3574916,1266661,800206,29712335,30621700,31237995,3702425,65781235,154783,41084623,43208121,22236434,63063988,65790803,353350,41158537,43188908,22214369,63125759,good
MaI286_294.jpg_0_0.png,2223425,656487,28317206,30114756,32182650,4974389,2231075,702897,28429734,30131308,32183743,5171446,64681763,165487,36439616,38308520,19720878,60795919,64695885,244133,36476826,38290038,19700271,60834980,good
MaI286_307.jpg_0_0.png,2068448,679479,26577526,29280086,31393942,5429048,2051653,624342,27333167,29260764,31383662,5718347,64460314,217107,36123628,37968734,19543042,61179840,64473599,202894,36092845,37950634,19524494,61147131,bad
MaI286_308.jpg_0_6.png,1802357,351421,30203188,28949294,29856471,4114309,1795452,698162,29968129,29199276,30004734,4296625,64722913,83103,40221860,42324664,21787287,61468625,64730722,234696,40298785,42300358,21760966,61571885,good
MaI286_320.jpg_0_0.png,1270056,445758,29690496,30967902,31669043,3114532,1253840,520333,29787315,31226302,31957420,3243519,65570328,147208,40403714,42482656,21860519,63279698,65578758,187805,40397357,42459268,21832420,63365261,good
MaI286_323.jpg_0_0.png,755291,395520,28189254,30263655,32643767,3628452,764081,490597,28405143,30353761,32747141,3735403,66338785,161082,38654972,40658251,20920383,64067616,66335959,175067,38664423,40642345,20903733,64110347,good
MaI286_324.jpg_0_1.png,1034463,438722,27767812,29616172,29402945,3782260,1014522,818170,27551809,29656440,29715524,3931123,66230187,135224,45297912,47600486,24516221,62714542,66249126,327204,45323813,47572822,24487858,62818077,good
MaI286_324.jpg_0_0.png,1358242,404458,28212638,30412315,29707895,2823751,1345952,492901,28372607,30415569,29728550,2892286,65511460,126226,46667502,49101403,25256549,63316561,65526260,171657,46654177,49091323,25247498,63354304,good
MaI286_324.jpg_0_2.png,1157416,283778,28364244,29484451,29739477,2698048,1140331,494854,28239111,29492990,29905612,2803936,65751472,77096,45739444,48144837,24764377,63670594,65755613,181690,45772117,48124514,24740742,63761788,good
MaI286_324.jpg_0_3.png,1440988,457931,28272994,28203003,29325418,4548173,1434859,925222,27914054,28321139,29548317,4785052,65652428,125143,42173234,44316019,22831442,61579439,65671963,352774,42265260,44281465,22793791,61718322,good
MaI286_107.jpg_0_2.png,2023322,547508,27596115,29522716,31496967,5636383,2037796,827822,27611743,29454509,31551157,5687819,64394110,146546,36350413,38210298,19668867,61028203,64399122,273956,36388969,38197897,19654839,61044783,medium
MaI286_107.jpg_0_3.png,2404502,748079,26189109,27872119,30412691,9660838,2428150,1500503,26261412,28152903,30443287,9761497,64434436,203901,33128791,34771863,17933605,57719036,64441884,519887,33228120,34745665,17905473,57660167,medium
MaI286_107.jpg_0_4.png,2568201,708522,25566629,27512479,30248456,9837881,2562786,1494478,25870937,27633739,30382721,10029941,64273191,179978,32633875,34250065,17663660,57525173,64282078,505026,32733203,34222083,17634651,57523853,medium
MaI286_107.jpg_0_6.png,1680046,623147,26345019,28308228,31011686,7016555,1713745,1014161,25837734,28334230,31062550,7110744,65223628,185245,34347875,36042390,18574680,60117887,65241049,345335,34370066,36024274,18553970,60134618,medium
MaI286_107.jpg_0_5.png,1881207,753561,26206368,28126901,30788576,8163753,1900589,1301782,26142314,28329354,30836672,8309577,65223073,213843,34089220,35756251,18444718,59364207,65240903,447478,34129382,35731338,18417838,59382041,medium
MaI286_108.jpg_0_2.png,1088094,336937,29826992,31461166,33047525,3426492,1065624,590751,29648919,31589246,33265066,3489489,65921520,93631,39402616,41456582,21326409,63567562,65931112,225977,39448969,41440006,21308674,63614287,good
MaI286_108.jpg_0_1.png,1258230,638023,29996733,30839742,31292089,5062780,1229577,994675,29704130,30907671,31461139,5274874,65945906,198569,38993465,40918680,21094863,61568902,65973329,389689,39043874,40878621,21051159,61689120,good
MaI286_108.jpg_0_0.png,1461547,578280,30556411,30228872,30530514,3646097,1444565,630423,30605391,30357362,30552945,3744395,65580105,181192,40950013,43041850,22157282,62598925,65595539,240665,40956761,43019424,22130721,62678321,good
MaI286_108.jpg_0_4.png,1424448,570811,28376387,30184994,32377252,5387332,1422311,833655,28239264,30301897,32526677,5623620,65836874,148521,36894325,38728860,19956204,61284406,65862799,307115,36933508,38694435,19919523,61350390,good
MaI286_108.jpg_0_3.png,1125207,564981,29215897,30808801,32194865,5134740,1107329,1014597,28978921,30894638,32439203,5316111,66186253,157973,38177541,40067791,20650593,61828132,66218211,382405,38215455,40032318,20615047,61909259,good
MaI286_108.jpg_0_5.png,1418599,621534,28068853,29801188,32084545,5539289,1389823,878792,27865460,29827733,32149243,5670794,65849727,179016,36386433,38180880,19679561,61147113,65873471,321004,36414032,38158079,19654511,61181122,good
MaI286_108.jpg_0_6.png,1678394,599814,27921259,29750992,32131521,5064057,1666706,772216,27909952,29870687,32241734,5158970,65077014,175402,36470493,38279664,19717801,61190603,65101158,266548,36468400,38264191,19700474,61231726,good
MaI286_108.jpg_0_8.png,1598797,593034,26592736,28922643,31589804,6527319,1584013,794348,26839142,28961288,31655236,6546195,65338315,161882,35348890,37102979,19114276,60772583,65369989,257890,35370842,37087032,19094388,60824831,good
MaI286_108.jpg_0_7.png,1443134,623458,27957086,29896041,32198854,5828963,1420218,903615,27983646,29952911,32241595,5994202,65673964,172834,36414966,38212597,19699358,60879637,65702226,338399,36448686,38186071,19667339,60949096,good
MaI286_109.jpg_0_0.png,2269404,795049,22977619,23845419,28529062,18242284,2258343,1024616,24185777,23493172,28511833,18481073,64709790,235257,30532087,32062193,16512574,56540330,64712953,321846,30542021,32050850,16499689,56642937,good
MaI286_115.jpg_0_1.png,2105796,829123,27776762,29797273,31591566,6490489,2087116,1050599,27427846,29837743,31628267,6687535,64705152,232535,35842648,37578125,19377354,59621875,64722392,386033,35851150,37553327,19351707,59623671,medium
MaI286_115.jpg_0_3.png,2171612,690464,25323896,27592328,30452307,9125885,2196312,1412929,25360667,27659904,30487119,9297154,64939462,179400,33052560,34685124,17890831,58627725,64937028,481929,33162513,34661094,17866273,58593628,medium
MaI286_120.jpg_0_1.png,1489896,793234,28828234,29759124,30622945,5253224,1470690,1036919,29113379,29697864,30734279,5430969,65628918,238724,38927754,40835398,21052783,61211362,65662164,411219,38943923,40804930,21022845,61235075,medium
MaI286_120.jpg_0_3.png,1789781,817523,27748717,29512338,31055936,6093753,1778502,1002231,27874747,29499048,31049144,6385193,65199693,234373,36670729,38464488,19832690,60436321,65236816,413011,36671033,38430154,19797746,60422861,medium
MaI286_120.jpg_0_2.png,1681907,620956,29198299,30704184,31452941,4597127,1677487,734389,29534588,30611084,31465005,4722935,65121289,167210,38762631,40735504,20975739,61715639,65145575,296733,38760494,40714676,20954199,61738201,medium
MaI286_120.jpg_0_4.png,1954493,773819,26659368,28920387,31182986,6615684,1951775,1005579,26961254,28952135,31130453,6824993,64963651,223351,35166082,36880209,19014770,59946910,64999139,379477,35205694,36853979,18990931,59911025,medium
MaI286_120.jpg_0_5.png,1663379,668480,26944052,29108145,31424754,6213145,1657771,986245,27128098,29151395,31368107,6308184,65295701,200520,35545526,37287853,19219824,60433199,65331191,388169,35576218,37279633,19208815,60446734,medium
MaI286_121.jpg_0_2.png,1981138,452979,22668558,25869024,29787157,10448800,2016430,897239,24381082,26014312,29872256,10472045,64488168,114211,32737328,34426346,17717815,59974898,64489654,255725,32765490,34413836,17703536,60024825,good
MaI286_121.jpg_0_1.png,2487630,850244,23725980,26746344,29824840,10534899,2492343,1279395,24650457,26834288,29967236,10654403,64236230,234514,31993188,33544954,17304562,57828117,64244857,432175,32024745,33517520,17271900,57897231,good
MaI286_121.jpg_0_0.png,2570992,682262,24221168,27424090,30576983,8836682,2550511,666243,25129248,27607435,30660577,8821167,63954176,201840,33201048,34894860,17967201,59305306,63959787,214203,33202374,34876113,17946777,59361029,good
MaI286_121.jpg_0_3.png,2364058,687027,21820110,24579065,28883718,15147555,2378939,1661424,23972448,24745589,29138071,15211560,64800704,176675,30563764,32071955,16543580,56821929,64804039,547726,30651440,32040943,16512175,56855372,good
MaI286_122.jpg_0_4.png,2242944,696706,26304711,28335304,30996370,7265964,2256549,888759,26672141,28584794,31152652,7428020,64796342,189382,34228023,35913244,18515192,59173310,64821333,291047,34250863,35877720,18481442,59227758,good
MaI286_126.jpg_0_4.png,2437517,693786,26767493,28651237,31106184,7146156,2449832,1095849,26753992,28803222,31279418,7267536,64508165,196040,34392213,36089861,18607766,58897792,64520104,405779,34481614,36057610,18577546,58979542,medium
MaI286_126.jpg_0_5.png,1623227,528042,28137602,30035563,32059607,5638542,1649670,878749,28232504,30086456,32298831,5708326,65502587,137234,36581542,38417437,19799645,60724348,65533282,314193,36649358,38388696,19771075,60787772,good
MaI286_126.jpg_0_7.png,1583743,495888,28689336,30293982,32017852,5347881,1581943,833751,28656783,30406391,32106707,5526146,65552619,123134,37327330,39208080,20200950,61050499,65580713,283903,37384513,39181269,20172909,61117734,good
MaI286_126.jpg_0_6.png,1914017,495214,27903293,29705575,31793241,5027687,1900769,686980,28113616,29800459,31859310,5128474,64734307,135740,36514531,38362235,19757773,60799511,64759937,225020,36533196,38341995,19738562,60846032,good
MaI286_126.jpg_0_8.png,1472219,465361,28450553,30180719,32249878,5228913,1488267,754299,28361050,30279341,32430947,5365176,65751521,110109,37042379,38921245,20051470,61366963,65774289,258539,37098520,38893859,20021281,61443612,good
MaI286_128.jpg_0_1.png,1172779,647411,25029143,27680420,31075287,8390633,1181609,790815,25327624,27806769,31113649,8385917,66216473,181613,34037811,35706244,18398041,60864313,66233769,263555,34041168,35686195,18378439,60940529,good
MaI286_128.jpg_0_2.png,1196622,385902,24504942,27352899,30940777,7519563,1192007,436172,24809993,27488501,31221912,7498101,65873912,95684,34526840,36313691,18688721,62246429,65882273,143198,34525035,36298267,18671820,62339787,good
MaI286_128.jpg_0_0.png,1129972,548864,25540137,28346087,31626800,6408002,1128711,529841,25865910,28408027,31715268,6382083,66034548,168684,35432549,37216957,19154552,62484238,66047341,184417,35410188,37201621,19138108,62547113,good
MaI286_128.jpg_0_3.png,1602033,568341,23327148,26028715,30061342,11643419,1623262,828154,23383169,25866113,30106817,11864249,65786317,143257,32337902,33948305,17498564,59266245,65802190,272478,32379133,33923093,17472395,59370693,good
MaI286_128.jpg_0_4.png,1875874,611956,20773828,23540649,28900863,16536083,1907752,864925,20148208,23044695,28762878,16911434,65354110,154158,30673860,32191115,16588065,57737601,65371376,269019,30714332,32175583,16573752,57815748,good
MaI286_132.jpg_0_1.png,2518038,646974,29364423,29869315,30338483,6273645,2516344,895783,29383985,30083768,30569335,6503164,64155754,142880,37463049,39347761,20279293,59046583,64177816,295125,37532095,39309340,20239785,59134598,medium
MaI286_132.jpg_0_2.png,1868917,433727,30326132,30164575,30737456,3866354,1865067,506881,30356431,30303891,30877786,3930542,64831853,103083,40212338,42310465,21766310,61942118,64836607,156713,40242785,42296799,21752364,61975436,medium
